"","variable","value","Var1"
"138","G",0.064039145361586,"CPI"
"139","G",-0.0324385358317904,"CPI"
"140","G",-0.0143295140639694,"CPI"
"141","G",0.0519127584742755,"CPI"
"142","G",-0.0147877903539267,"CPI"
"143","G",0.00255558514351125,"CPI"
"144","G",0.00717403011005894,"CPI"
"145","G",-0.0121178871055096,"CPI"
"146","G",0.0855673483678023,"CPI"
"147","G",-0.113818651973951,"CPI"
"148","G",0.0979050110995824,"CPI"
"149","G",-0.0135355510487974,"CPI"
"150","G",-0.00578736246986326,"CPI"
"151","G",-0.0198386846521442,"CPI"
"152","G",0.0463943244358383,"CPI"
"153","G",0.0254119236660042,"CPI"
"154","G",0.0382965806761597,"CPI"
"155","G",0.00299121213992211,"CPI"
"156","G",0.0359222434809418,"CPI"
"157","G",-0.0173503415436128,"CPI"
"158","G",0.0897544578521448,"CPI"
"159","G",-0.0176257181784954,"CPI"
"160","G",0.0126160450763116,"CPI"
"161","G",-0.0280362514285198,"CPI"
"162","G",-0.007555820984888,"CPI"
"163","G",-0.00863775153634874,"CPI"
"164","G",0.0686327654139153,"CPI"
"165","G",0.0148437898780818,"CPI"
"166","G",-0.014250766583498,"CPI"
"167","G",0.0735707257461066,"CPI"
"168","G",0.0474785797022026,"CPI"
"169","G",0.0449786217678792,"CPI"
"170","G",0.0907762695184831,"CPI"
"171","G",0.0772263421211856,"CPI"
"172","G",0.00433399454572342,"CPI"
"173","G",-0.0362390912800892,"CPI"
"174","G",-0.0538224937622928,"CPI"
"175","G",0.00400561417711618,"CPI"
"176","G",-0.0782476441622067,"CPI"
"177","G",0.0329838796759566,"CPI"
"178","G",-0.00314271638191572,"CPI"
"179","G",-0.000323103638814645,"CPI"
"180","G",-0.0151570368017783,"CPI"
"181","G",-0.0777925100215542,"CPI"
"182","G",0.0114957731323613,"CPI"
"183","G",0.0293891557301452,"CPI"
"184","G",-0.0817362423072858,"CPI"
"185","G",0.015034853323244,"CPI"
"186","G",-0.0570409685681618,"CPI"
"187","G",-0.00870346098798242,"CPI"
"188","G",0.083608884457683,"CPI"
"189","G",-0.00967104664485398,"CPI"
"190","G",0.00730893488506244,"CPI"
"191","G",0.0701524436589445,"CPI"
"192","G",0.0235461561057339,"CPI"
