"","Var1","Var2","value"
"148","CPI","X1",0.182509477324722
"149","CPI","X1",-0.293049569037206
"150","CPI","X1",0.354205017608199
"151","CPI","X1",-0.0638334346881348
"152","CPI","X1",0.0740451555311518
"153","CPI","X1",-0.166790823530251
"154","CPI","X1",0.388750128278105
"155","CPI","X1",0.0619449272094433
"156","CPI","X1",0.169246831725591
"157","CPI","X1",-0.0060590886318415
"158","CPI","X1",0.176076702721599
"159","CPI","X1",-0.093857017657794
"160","CPI","X1",-0.0475674152915116
"161","CPI","X1",0.0910179141948035
"162","CPI","X1",-0.152216715343211
"163","CPI","X1",-0.0195792303655121
"164","CPI","X1",0.0703239973695329
"165","CPI","X1",-0.15614067275631
"166","CPI","X1",-0.00558901034851376
"167","CPI","X1",0.114112435632599
"168","CPI","X1",0.0936019054615327
"169","CPI","X1",0.245071421582286
"170","CPI","X1",-0.210412145958478
"171","CPI","X1",-0.126978379081942
"172","CPI","X1",-0.260796668228134
"173","CPI","X1",0.0107363601533302
"174","CPI","X1",-0.158869601847393
"175","CPI","X1",0.200464559846519
"176","CPI","X1",-0.0740163458735177
"177","CPI","X1",0.19810440148373
"178","CPI","X1",-0.347831502741591
"179","CPI","X1",-0.31199996794716
"180","CPI","X1",-0.251286113142339
"181","CPI","X1",-0.0621237277404412
"182","CPI","X1",0.178328206194095
"183","CPI","X1",-0.0401539068174982
"184","CPI","X1",0.0450494507673443
"185","CPI","X1",-0.279481581869434
"186","CPI","X1",-0.336359338532664
"187","CPI","X1",0.0776645588576259
"188","CPI","X1",0.115619893679385
"189","CPI","X1",0.0405571173797684
"190","CPI","X1",0.0888137920379262
"191","CPI","X1",-0.0813128399785674
"192","CPI","X1",0.343749599206476
"193","CPI","X1",0.13628276750434
"194","CPI","X1",0.185798824448163
"195","CPI","X1",0.0349332788575269
"196","CPI","X1",0.081192472948489
"197","CPI","X1",-0.23626324053128
"198","CPI","X1",-0.211358724305887
"199","CPI","X1",-0.0347463634478902
"200","CPI","X1",-0.1033559755477
"201","CPI","X1",-0.176844681739266
"202","CPI","X1",0.156311263937372
"203","CPI","X1",0.0355263963403878
"204","CPI","X1",-0.20558926189665
"205","CPI","X1",-0.0460927657849445
"206","CPI","X1",0.0165088491925574
"207","CPI","X1",-0.427847995401475
